"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","n","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err"
"40CS018",2014,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1169,89491,1077,89537.9999999999,4,89.491,89.5379999999999,13.06276608821,12.0284125175903,10,16,16,1139.69766303044,12.7353327488847,1060.95,1225,11.8553821054631,13.6885273379446,42.268264954008,0.472318612530959
"40CS018",2015,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1172,89434,1169,89491,4,89.434,89.491,13.1046358208288,13.06276608821,10,17,17,1140.4122444508,12.7514395470493,1053,1227,11.7740456649596,13.7196144642977,44.0199434281715,0.492205910818833
"40CS018",2016,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1140,89145,1172,89433.9999999999,4,89.145,89.4339999999999,12.7881541309103,13.1046358208288,10,18,18,1155.04483898903,12.9569223062318,1072.95,1240.05,12.0360087497897,13.9104829210836,43.5449397493874,0.488473158891552
"40CS018",2017,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1143,88557,1140,89144.9999999999,4,88.557,89.1449999999999,12.9069412920492,12.7881541309103,10,19,19,1172.13042287274,13.2358867494692,1094,1264.05,12.3536253486455,14.2738575154985,43.8556574878737,0.495225193805952
"40CS018",2018,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1216,88178,1143,88556.9999999997,4,88.178,88.5569999999997,13.7902878268956,12.9069412920492,10,20,20,1184.56913435495,13.4338398960619,1100.95,1269.05,12.4855406110368,14.3919118147384,43.4932804056034,0.493244124448313
"40CS018",2019,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1169,87814,1216,88177.9999999999,4,87.814,88.1779999999999,13.3122281185232,13.7902878268956,10,21,21,1183.81995419305,13.4809933973291,1094.925,1262.05,12.4686838089598,14.3718541462637,42.1832839575755,0.480370828769621
"40CS018",2020,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1364,87529,1169,87814.0000000002,4,87.529,87.8140000000002,15.58340664237,13.3122281185232,10,22,22,1208.27547014233,13.8042873806661,1119.975,1292.025,12.7954735002114,14.7611077471467,43.779481026606,0.500171155006981
"40CS019",2011,"OK","Le Flore",622,50504,564,50525.0000000001,1,50.504,50.5250000000001,12.3158561698083,11.1627906976744,10,13,13,594.504086969107,11.7714257676443,534,651,10.5734199271345,12.8900681134168,29.4600215184556,0.583320559133051
"40CS019",2012,"OK","Le Flore",581,50343,622,50504.0000000001,1,50.343,50.5040000000001,11.5408299068391,12.3158561698083,10,14,14,592.232501730039,11.7639493421139,533.975,654.05,10.6067377788372,12.9918757324752,30.5058427590919,0.605959969789086
"40CS019",2013,"OK","Le Flore",623,50301,581,50342.9999999999,1,50.301,50.3429999999999,12.3854396532872,11.5408299068391,10,15,15,608.520028407669,12.0975731776241,549,669,10.9142959384505,13.2999343949424,30.9153806342371,0.614607674484345
